2019/07/17 21:30:29.508 [D]  Init All Success!!
2019/07/17 21:30:55.234 [D]  Partition:0, Offset:19774, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/192.168.162.1
2019/07/17 21:30:55.335 [D]  Partition:0, Offset:19775, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/192.168.150.1
2019/07/17 21:30:55.425 [D]  Partition:0, Offset:19776, Key:, Value:2019/07/17 21:26:10.104 [I]  init kafka producer success 
2019/07/17 21:30:55.535 [D]  Partition:0, Offset:19777, Key:, Value:2019/07/17 21:26:10.104 [D]  Init All Success!!
2019/07/17 21:30:55.625 [D]  Partition:0, Offset:19778, Key:, Value:2019/07/17 21:30:51.962 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:55.727 [D]  Partition:0, Offset:19779, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:55.826 [D]  Partition:0, Offset:19780, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:55.927 [D]  Partition:0, Offset:19781, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:56.026 [D]  Partition:0, Offset:19782, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:56.119 [D]  Partition:0, Offset:19783, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/192.168.162.1" create_revision:35 mod_revision:36 version:2 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
2019/07/17 21:30:56.208 [D]  Partition:0, Offset:19784, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig log Config is : [[{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]]
2019/07/17 21:30:56.310 [D]  Partition:0, Offset:19785, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:56.410 [D]  Partition:0, Offset:19786, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:56.494 [D]  Partition:0, Offset:19787, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:56.583 [D]  Partition:0, Offset:19788, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/10.254.124.191" create_revision:25 mod_revision:48 version:18 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
2019/07/17 21:30:56.669 [D]  Partition:0, Offset:19789, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.getConfig log Config is : [[{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]]
2019/07/17 21:30:56.759 [D]  Partition:0, Offset:19790, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::f0c7:89d7:3d41:4d5c:
2019/07/17 21:30:56.844 [D]  Partition:0, Offset:19791, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/169.254.77.92:
2019/07/17 21:30:56.934 [D]  Partition:0, Offset:19792, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::4493:9f90:85a7:cd56:
2019/07/17 21:30:57.019 [D]  Partition:0, Offset:19793, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/169.254.205.86:
2019/07/17 21:30:57.109 [D]  Partition:0, Offset:19794, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::e1f8:4b87:8b7c:8f69:
2019/07/17 21:30:57.194 [D]  Partition:0, Offset:19795, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/192.168.162.1:
2019/07/17 21:30:57.284 [D]  Partition:0, Offset:19796, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::a10a:9c4e:44c8:d72e:
2019/07/17 21:30:57.377 [D]  Partition:0, Offset:19797, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/192.168.150.1:
2019/07/17 21:30:57.484 [D]  Partition:0, Offset:19798, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::8960:a07c:473b:a0d8:
2019/07/17 21:30:57.577 [D]  Partition:0, Offset:19799, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/10.254.124.191:
2019/07/17 21:30:57.667 [D]  Partition:0, Offset:19800, Key:, Value:2019/07/17 21:30:51.965 [D]  Init etcd Success!!
2019/07/17 21:30:57.769 [D]  Partition:0, Offset:19801, Key:, Value:2019/07/17 21:30:51.967 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/169.254.205.86
2019/07/17 21:30:57.858 [D]  Partition:0, Offset:19802, Key:, Value:2019/07/17 21:30:51.967 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::f0c7:89d7:3d41:4d5c
2019/07/17 21:30:57.952 [D]  Partition:0, Offset:19803, Key:, Value:2019/07/17 21:30:51.967 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::4493:9f90:85a7:cd56
